นาย	Mr.
หลวง	"1) (adj) public/official (คนขับรถบรรทุกประลองความเร็วกันบนถนนหลวง)<div>2) (adj) royal (วัดบวรนิเวศวิหารเป็นพระอารามหลวงชั้นเอกชนิดราชวรวิหารตั้งอยู่บนถนนพระสุเมรุ บางลำพู)</div><div>3) title of respect shown to elderly relatively while in the Buddhist monkhood (หลวงพี่นุ่งเหลืองห่มเหลืองกำลังเดินอุ้มบาตรมาจวนจะถึงหน้าบ้าน)</div><div>4) (adj) great/big/superior/chief ()<br /><div><br /></div><div>NOTE: can be used to mean ""capital city"" with เมืองหลวง</div></div>"
อากาศ	1) the climate/the weather (กล้วยไม้พันธุ์นี้ชินกับอากาศของประเทศไทย)<div>2) the air (ฝ่ายพันธมิตรได้ทุ่มเทแสนยานุภาพทางอากาศโจมตีอิรักอย่างหนัก) (คนเราจะมีชีวิตอยู่และร่างกายแข็งแรงถ้าได้หายใจเอาอากาศที่บริสุทธิ์ได้กินอาหารพักผ่อนและออกกำลังกาย)</div><div>3) the space (แผนอันใหญ่โตของเขากลายเป็นอากาศธาตุไป)</div>
เพื่อน	1) the friend; count unit คน (เขาเป็นเพื่อนที่คบกันมาเกือบ 20 ปี รู้ไส้รู้พุงกันหมดแล้ว)
เสียงดัง	1) the noise (ขณะที่กำลังนอนหลับอยู่ มีคนมาทำเสียงดัง จนเขาต้องสะดุ้งตื่นขึ้นมาทันที)<div><br /></div><div>(noisy)</div>
แอบ	1) to hide / to conceal / to tuck away (เด็กๆ วิ่งไปแอบเพื่อนอยู่หลังประตู)<div>2) to tuck away</div>
คล้าย	1) to resemble / to be alike (เขาทั้งคู่คล้ายกันมากเหมือนเป็นพี่น้องกัน) (ผู้หญิงสองคนนี้คล้ายๆ กันตรงที่มีมุมมองในการใช้ชีวิตอย่างเดียวกัน)
จีน	1) China (คนจีนคุยเสียงดังมาก) (ปัญญาชนเหล่านี้ได้เป็นแกนกลางของการเคลื่อนไหวเรียกร้องประชาธิปไตยในจีน)
แอบคล้าย	"<div>""half like"" (""kind of like"")</div><div><br /></div>not sure if it is a set phrase&nbsp;or if แอบ is a modifier that lessens what comes next"
ถ่าย	1) to transfer (คนงานถ่ายกระสอบข้าวลงในเรือสินค้า)<div>2) to excrete (วันนี้เขาถ่ายทั้งวัน สงสัยจะท้องเสีย)</div><div>3) to take a picture (also with รูป) (ภาพสวยๆ เหล่านี้ ผมวานให้น้องถ่ายให้)</div>
รูป	1) the body (physique, build, figure) (เราจงอย่ายึดมั่นถือมั่นกับรูป รส กลิ่น เสียง)<div>2) the figure; count unit รูป&nbsp;(ริมขอบของดิสก์จะมีช่องบากเป็นรูปสี่เหลี่ยมผืนผ้าเล็กๆ)</div><div>3) numerical classifier for monk (พ่อนิมนต์พระสงฆ์ 5 รูปมาสวดในงานทำบุญบ้าน)</div><div>4) the photograph ( ี่ไปเที่ยวภูเก็ตกลับมา มีรูปให้พวกเราดูหรือเปล่า)</div>
ภ่ายรูป	1) to take a photograph (ผมถ่ายรูปไปพลาง เงี่ยหูฟังเรื่องที่เขาถกเถียงไปพลาง)
ผม	1) male personal pronoun (I) (ผมกระหายน้ำมาก)<div>2) the hair; count unit เส้น (ผมของเธอยาวสลวยและดกดำ)</div>
เหรอ	1) word used to end yes-no question (เธอใช้เงินหมดแล้วเหรอ ตั้งสองหมื่นบาท)
ฝัน	1) to dream (ฝันดี) (&nbsp;แม้ในฝัน ความตึงเครียดก็ยังเข้าไปรบกวนทำให้ฝันร้ายต้องตื่นตลอดคืน)
ทร-	1) behaves as low-class 's'<div>ทราบ</div><div>หราย</div><div>ทรง</div>
-ร	1) usually pronounced 'n', but in words where there is no immediately preceding written vowel, prounced 'อน'<div>พร</div><div>นคร</div><div>ละคร</div>
-รร	1) pronounce as 'an'<div>สรร</div><div>บรรทุก</div>
-รร-	1) pronounce as 'a' (short)<div>กรรม</div><div>พรรค</div>
many words of indic origin final short vowel...	...is not pronounced<div>ชาติ</div><div>ญาติ</div><div>เหตุ</div>
silenced consonants...	... usually appear in words borrowed from sanskirt, pali, and english, and can appear with&nbsp;์, which silences either the one above or the one above AND the one preceding. &nbsp;but, sometimes there is no&nbsp;์<div>เบียร์</div><div>อาทิตย์</div><div>จันทร์</div><div>สาสตร์</div><div>บัตร</div><div>สมัคร</div>
unwritten vowel in multisyllable word with บร...	... pronounced 'อะ'<div>บริษัท</div><div>บริเวณ</div><div>บริการ</div><div>บริหาร</div><div>บริโภค</div>
monosyllable words with silent vowel...	...vowel pronounced 'o'<div>คน</div><div>ยก</div><div>จบ</div><div>หก</div><div>หมด</div>
multisyllable words with silent vowel not บร...	... pronounced 'a'<div>สบาย</div><div>สถาน</div><div>สภาพ</div><div>สนุก</div><div>ตลก</div>
ยมก	1) the repetition character, which is ๆ.&nbsp;<div>เยอะ</div><div>เยอะๆ</div>
เปยยาลนา้ย	"1) the abbreviation character, which is ฯ<div>most commonly used in what westerners call ""Bangkok""</div><div>กรุงเทพฯ</div>"
the full name of กรุงเทพฯ	กรุงเทพมหานครอมรรัตนโกสินทร์มหินรายุธยามหาดิลกภพนพรัตนราชธานีบูรีรมย์อุดมราชนิเวศมหาสถานอมรพิมานอวตารสถิตสักกทัตติยะวิษณุกรรมประสิทธึ์
เปยยาลใหญ่	1) name of the 'et cetera' symbol, which is&nbsp;ฯลฯ
การันต์	1) the silence mark, which is&nbsp;์
฿	1) thai currency symbol
ฟองมัน	"1) the symbol used to indicate beginning of paragraph, which is ๏, used now mainly for poetic or artistic effect. informally known as ตาไก่ (""bird's eye"")"
พินทุ	can be placed underneath:<div>1) first consonant of an orthographic cononant clster which may in turn be 1) a double-consonant cluser, 2) silent ห (แหฺม /maae rising/), or 3) silent อ.</div><div>2) final sounding consonant of a syllable (แหฺม /maae rising/)</div><div><br /><div>NOTE: archaic. &nbsp;mostly used in dictionaries to disambiguate pronunciation.</div></div>
อังคั่นคู่	1) symbol to indicate end of chapter/episode/verse/section of Thai text, which is&nbsp;๚
โคมูตร	1) symbol used to mark end of big section of text&nbsp;๛
ไม้เอก	1) the '่' tone mark (falling / low / low)
ไม้โท	1) the '้' tone mark (high / falling / falling)
ไม้ตรี	1) the '๊' tone mark ( - / high / - )
ไม้จัตวา	1) the '๋' tone mark ( - / rising / - )
อังคั่นวิสรรชนีย์โคมูตร	1) mark end of entire text&nbsp;๚ะ๛
นิคหิต	1) pali 'nasal' symbol. &nbsp;have only ever seen as part of 'am' (ำ) and and 'eu' (ึ).<div><br /></div><div>From wiki:</div><div>'If nikkhahit occurs before a consonant, then Thai uses a nasal stop of the same class: e.g. สํสฺกฺฤตา [saṃskṛta] is read as สันสกฤตา san-sa-krit-ta (The ส following the nikkhahit is a dental-class consonant, therefore the dental-class nasal stop น is used).'</div><div><br /></div><div>don't quite understand the above right now</div>
